Training Details:
Episode 388: Reward -37.37, Steps 1440, Epsilon 0.31
Episode 389: Reward -35.06, Steps 1440, Epsilon 0.31
Episode 390: Reward -32.84, Steps 1440, Epsilon 0.31
Episode 391: Reward -36.80, Steps 1440, Epsilon 0.31
Episode 392: Reward -36.33, Steps 1440, Epsilon 0.31
Episode 393: Reward -36.44, Steps 1440, Epsilon 0.31
Episode 394: Reward -36.19, Steps 1440, Epsilon 0.31
Episode 395: Reward -39.03, Steps 1440, Epsilon 0.30
Episode 396: Reward -35.38, Steps 1440, Epsilon 0.30
Episode 397: Reward -39.51, Steps 1440, Epsilon 0.30
Episode 398: Reward -37.45, Steps 1440, Epsilon 0.30
Episode 399: Reward -36.34, Steps 1440, Epsilon 0.30
Episode 400: Reward -37.50, Steps 1440, Epsilon 0.30
Episode 401: Reward -34.87, Steps 1440, Epsilon 0.30
Episode 402: Reward -36.67, Steps 1440, Epsilon 0.30
Episode 403: Reward -38.69, Steps 1440, Epsilon 0.30
Episode 404: Reward -33.27, Steps 1440, Epsilon 0.30
Episode 405: Reward -38.91, Steps 1440, Epsilon 0.30
Episode 406: Reward -37.63, Steps 1440, Epsilon 0.30
Episode 407: Reward -39.21, Steps 1440, Epsilon 0.29
Episode 408: Reward -38.63, Steps 1440, Epsilon 0.29
Episode 409: Reward -38.22, Steps 1440, Epsilon 0.29
Episode 410: Reward -39.67, Steps 1440, Epsilon 0.29
Episode 411: Reward -35.13, Steps 1440, Epsilon 0.29
Episode 412: Reward -40.01, Steps 1440, Epsilon 0.29
Episode 413: Reward -37.06, Steps 1440, Epsilon 0.29
Episode 414: Reward -41.30, Steps 1440, Epsilon 0.29
Episode 415: Reward -34.72, Steps 1440, Epsilon 0.29
Episode 416: Reward -37.36, Steps 1440, Epsilon 0.29
Episode 417: Reward -36.58, Steps 1440, Epsilon 0.29
Episode 418: Reward -33.00, Steps 1440, Epsilon 0.29
Episode 419: Reward -34.18, Steps 1440, Epsilon 0.29
Episode 420: Reward -34.29, Steps 1440, Epsilon 0.28
Episode 421: Reward -33.68, Steps 1440, Epsilon 0.28
Episode 422: Reward -33.66, Steps 1440, Epsilon 0.28
Episode 423: Reward -36.96, Steps 1440, Epsilon 0.28
Episode 424: Reward -35.01, Steps 1440, Epsilon 0.28
Episode 425: Reward -35.76, Steps 1440, Epsilon 0.28
Episode 426: Reward -37.67, Steps 1440, Epsilon 0.28
Episode 427: Reward -36.68, Steps 1440, Epsilon 0.28
Episode 428: Reward -35.15, Steps 1440, Epsilon 0.28
Episode 429: Reward -38.80, Steps 1440, Epsilon 0.28
Episode 430: Reward -35.72, Steps 1440, Epsilon 0.28
Episode 431: Reward -33.92, Steps 1440, Epsilon 0.28
Episode 432: Reward -35.60, Steps 1440, Epsilon 0.28
Episode 433: Reward -34.98, Steps 1440, Epsilon 0.27
Episode 434: Reward -31.84, Steps 1440, Epsilon 0.27
Episode 435: Reward -35.13, Steps 1440, Epsilon 0.27
Episode 436: Reward -34.04, Steps 1440, Epsilon 0.27
Episode 437: Reward -34.09, Steps 1440, Epsilon 0.27
Episode 438: Reward -34.82, Steps 1440, Epsilon 0.27
Episode 439: Reward -36.36, Steps 1440, Epsilon 0.27
Episode 440: Reward -35.84, Steps 1440, Epsilon 0.27
Episode 441: Reward -32.38, Steps 1440, Epsilon 0.27
Episode 442: Reward -32.44, Steps 1440, Epsilon 0.27
Episode 443: Reward -33.02, Steps 1440, Epsilon 0.27
Episode 444: Reward -31.33, Steps 1440, Epsilon 0.27
Episode 445: Reward -33.56, Steps 1440, Epsilon 0.27
Episode 446: Reward -33.89, Steps 1440, Epsilon 0.26
Episode 447: Reward -35.23, Steps 1440, Epsilon 0.26
Episode 448: Reward -36.49, Steps 1440, Epsilon 0.26
Episode 449: Reward -33.82, Steps 1440, Epsilon 0.26
